member_id,join_date,membership_tier,home_club,age,gender,monthly_fee,churn_date,total_checkins,avg_app_login_minutes,trainer_sessions,unique_clubs,unique_classes,total_sales,avg_profit_margin,is_churned,tier_code
M000029,2024-11-14,Basic,Queens_Central,62,F,49.99,2026-08-02,11,37.09090909090909,0,8,3,114.98,0.32,1,0
M000030,2023-06-06,Basic,Staten_Island,59,F,49.99,,12,55.333333333333336,0,10,1,0.0,0.0,0,0
M000031,2023-09-04,Student,Brooklyn_Heights,22,Other,39.99,,14,38.5,0,11,3,105.77,0.31,0,3
M000032,2024-08-10,Senior,Long_Island_City,28,Other,44.99,2025-10-14,12,37.583333333333336,1,9,5,0.0,0.0,1,2
M000033,2024-02-13,Premium,NYC_Downtown,40,Other,79.99,,15,42.86666666666667,2,10,4,17.96,0.49,0,1
M000034,2023-08-15,Student,Midtown_Elite,47,Other,39.99,,11,33.09090909090909,0,9,4,228.74,0.3125,0,3
M000035,2023-02-08,Senior,Staten_Island,27,M,44.99,,9,41.0,0,8,2,183.43,0.36,0,2
M000036,2024-06-30,Senior,Staten_Island,28,Other,44.99,,16,44.8125,0,11,2,123.45,0.3833333333333333,0,2
M000037,2023-05-01,Premium,Queens_Central,34,Other,79.99,,11,35.0,1,9,5,95.12,0.37,0,1
M000038,2024-07-03,Basic,Queens_Central,28,F,49.99,,10,36.1,0,8,5,93.82,0.35,0,0
M000039,2023-05-03,Premium,NYC_Uptown,53,M,79.99,2023-06-17,15,43.266666666666666,1,12,3,108.27000000000001,0.312,1,1
M000040,2023-04-24,Premium,Chinatown_Active,54,Other,79.99,,21,39.76190476190476,1,10,4,100.06,0.30666666666666664,0,1
M000041,2023-12-05,Basic,Williamsburg,29,F,49.99,,14,26.428571428571427,0,9,3,131.32,0.32399999999999995,0,0
M000042,2024-11-07,Senior,Queens_Central,70,Other,44.99,,14,39.42857142857143,2,10,2,145.7,0.33799999999999997,0,2
M000043,2023-12-05,Premium,Harlem_Strong,52,M,79.99,2025-04-07,19,23.31578947368421,2,11,4,77.03,0.33,1,1
M000044,2024-09-23,Basic,Financial_District,41,F,49.99,,13,43.15384615384615,2,12,5,335.9,0.39285714285714285,0,0
M000045,2024-06-02,Basic,Manhattan_Premium,68,F,49.99,,4,25.25,0,4,1,302.29,0.35714285714285715,0,0
M000046,2024-08-09,Basic,Harlem_Strong,30,M,49.99,,15,38.733333333333334,0,7,2,59.8,0.26,0,0
M000047,2024-10-03,Basic,Bronx_Fitness,52,Other,49.99,,11,16.636363636363637,0,9,3,41.580000000000005,0.33,0,0
M000048,2024-04-11,VIP,Brooklyn_Heights,39,F,129.99,,12,30.75,0,9,2,47.04,0.35,0,4
M000049,2024-08-11,Student,Financial_District,63,M,39.99,,11,46.09090909090909,1,7,2,301.78,0.38833333333333336,0,3
M000050,2023-11-01,Senior,Bronx_Fitness,20,M,44.99,,10,44.7,1,8,3,93.13,0.35,0,2
M000051,2023-03-22,VIP,NYC_Uptown,30,Other,129.99,,18,38.666666666666664,0,11,6,0.0,0.0,0,4
M000052,2024-12-06,VIP,NYC_Uptown,37,M,129.99,2026-05-14,13,36.46153846153846,0,8,3,279.11,0.41,1,4
M000053,2024-02-09,VIP,Chinatown_Active,22,M,129.99,,12,35.25,1,9,1,73.55,0.45,0,4
M000054,2024-10-08,VIP,Brooklyn_Heights,28,Other,129.99,,13,49.30769230769231,0,9,2,248.23999999999998,0.36999999999999994,0,4
M000055,2024-11-20,VIP,Manhattan_Premium,18,F,129.99,,14,45.857142857142854,0,10,4,158.59,0.4083333333333334,0,4
M000056,2024-04-20,Student,Long_Island_City,58,M,39.99,,12,25.083333333333332,0,10,4,289.27,0.38571428571428573,0,3
M000057,2023-03-25,Senior,Bronx_Fitness,33,F,44.99,,12,26.666666666666668,1,10,3,89.31,0.4666666666666666,0,2
M000058,2024-03-05,VIP,Midtown_Elite,20,F,129.99,,15,21.266666666666666,0,8,2,45.29,0.45,0,4
M000059,2024-01-14,Basic,Midtown_Elite,38,Other,49.99,,15,22.6,0,9,3,213.27,0.35714285714285715,0,0
M000060,2023-05-08,Premium,Chinatown_Active,18,M,79.99,2025-01-11,12,19.833333333333332,0,8,3,300.63,0.325,1,1
M000061,2024-07-09,Student,NYC_Uptown,26,Other,39.99,,10,28.4,0,8,2,82.94,0.33999999999999997,0,3
M000062,2023-12-04,Basic,Manhattan_Premium,29,M,49.99,,15,42.86666666666667,0,10,2,240.87,0.3566666666666667,0,0
M000063,2024-12-15,VIP,Midtown_Elite,25,Other,129.99,,10,43.9,0,6,2,375.68,0.3977777777777778,0,4
M000064,2023-01-27,VIP,Long_Island_City,23,F,129.99,,18,41.27777777777778,1,12,4,220.02,0.382,0,4
M000065,2023-05-14,Student,Bronx_Fitness,33,F,39.99,,9,28.666666666666668,2,8,2,246.81,0.372,0,3
M000066,2024-10-28,VIP,Financial_District,25,M,129.99,,10,13.6,0,8,4,118.82000000000001,0.35000000000000003,0,4
M000067,2023-10-11,VIP,Midtown_Elite,63,Other,129.99,,13,28.384615384615383,3,9,2,99.37,0.27199999999999996,0,4
M000068,2024-12-21,Senior,Long_Island_City,29,M,44.99,,15,36.733333333333334,0,12,3,256.32,0.3416666666666666,0,2
M000069,2023-01-10,Senior,Staten_Island,56,Other,44.99,,17,37.0,0,11,4,281.22,0.312,0,2
M000070,2024-12-06,VIP,NYC_Uptown,18,M,129.99,,21,24.523809523809526,1,12,5,157.19,0.344,0,4
M000071,2023-07-27,Premium,Long_Island_City,52,F,79.99,,12,15.166666666666666,0,9,2,55.309999999999995,0.33999999999999997,0,1
M000072,2023-05-09,Senior,Brooklyn_Heights,19,M,44.99,,19,28.05263157894737,0,10,4,345.8,0.37142857142857144,0,2
M000073,2023-05-05,Premium,Bronx_Fitness,60,F,79.99,,16,41.625,1,11,2,110.8,0.2966666666666667,0,1
M000074,2023-06-28,Student,Midtown_Elite,68,Other,39.99,,17,38.529411764705884,2,10,5,88.29,0.37,0,3
M000075,2023-03-19,Premium,Staten_Island,35,M,79.99,,7,39.142857142857146,0,5,1,176.96,0.28500000000000003,0,1
M000076,2023-01-29,Basic,Midtown_Elite,61,Other,49.99,,10,27.7,1,8,2,182.82,0.345,0,0
M000077,2023-02-08,Premium,Financial_District,65,M,79.99,,13,28.846153846153847,0,8,2,141.16,0.27999999999999997,0,1
M000078,2024-11-13,Premium,Astoria_Fit,50,M,79.99,,21,31.285714285714285,1,12,5,183.04,0.316,0,1
M000079,2024-12-16,Basic,Manhattan_Premium,54,M,49.99,,14,21.642857142857142,0,11,4,229.68,0.26,0,0
M000080,2024-12-19,VIP,Upper_East_Side,20,F,129.99,,13,35.0,2,8,3,326.13,0.33,0,4
M000081,2023-01-04,Senior,Bronx_Fitness,27,F,44.99,,13,23.692307692307693,1,8,2,9.879999999999999,0.29500000000000004,0,2
M000082,2024-09-19,Premium,Midtown_Elite,69,M,79.99,2025-01-18,16,13.8125,1,10,3,138.67000000000002,0.36,1,1
M000083,2024-08-29,Senior,NYC_Uptown,58,M,44.99,,15,36.733333333333334,1,9,2,69.34,0.39749999999999996,0,2
M000084,2023-07-02,Student,Harlem_Strong,43,M,39.99,,12,34.666666666666664,0,9,5,33.26,0.33999999999999997,0,3
M000085,2023-03-27,Student,Brooklyn_Heights,22,F,39.99,2024-04-17,16,19.4375,0,10,4,45.88,0.22,1,3
M000086,2024-10-12,VIP,Bronx_Fitness,52,M,129.99,,14,28.785714285714285,1,8,3,155.14,0.2833333333333333,0,4
M000087,2023-05-09,Basic,Financial_District,34,M,49.99,,11,50.36363636363637,1,8,2,284.21,0.36000000000000004,0,0
M000088,2024-12-31,Premium,NYC_Downtown,70,M,79.99,,20,20.7,2,13,5,67.19,0.32,0,1
M000089,2023-05-27,VIP,Midtown_Elite,43,M,129.99,,15,32.266666666666666,0,10,3,77.21000000000001,0.31666666666666665,0,4
M000090,2023-09-04,Premium,Astoria_Fit,58,M,79.99,,11,33.63636363636363,0,8,3,43.82,0.32499999999999996,0,1
M000091,2024-05-18,Premium,Harlem_Strong,65,Other,79.99,,23,46.26086956521739,0,11,6,49.81,0.385,0,1
M000092,2024-01-12,VIP,Harlem_Strong,64,Other,129.99,,18,40.77777777777778,1,12,3,88.68,0.33,0,4
M000093,2023-01-18,Senior,Staten_Island,52,Other,44.99,2023-03-25,10,48.8,1,8,1,24.23,0.39,1,2
M000094,2024-08-11,Student,Brooklyn_Heights,59,Other,39.99,,24,35.833333333333336,0,12,5,129.79,0.39999999999999997,0,3
M000095,2023-08-28,Premium,Harlem_Strong,38,Other,79.99,,7,36.0,1,5,1,76.57,0.3633333333333333,0,1
M000096,2023-07-31,Senior,Bronx_Fitness,68,Other,44.99,,13,49.84615384615385,0,10,4,63.13,0.41500000000000004,0,2
M000097,2024-04-22,VIP,Brooklyn_Heights,55,F,129.99,2026-04-19,12,37.416666666666664,1,10,5,124.93,0.31666666666666665,1,4
M000098,2024-11-17,Premium,Financial_District,45,F,79.99,,17,31.235294117647058,2,10,3,109.12,0.485,0,1
M000099,2024-11-02,Senior,Astoria_Fit,29,Other,44.99,,16,52.6875,1,8,5,248.66,0.37,0,2
M000100,2023-02-02,VIP,Harlem_Strong,30,F,129.99,,20,26.25,2,11,4,18.83,0.32999999999999996,0,4
M000101,2024-04-06,VIP,Bronx_Fitness,31,M,129.99,,15,25.666666666666668,0,9,3,32.02,0.44,0,4
M000102,2024-12-23,Student,Midtown_Elite,68,Other,39.99,,22,23.636363636363637,2,10,5,175.88,0.30333333333333334,0,3
M000103,2024-06-05,Student,Astoria_Fit,68,Other,39.99,2025-09-07,12,45.75,1,7,2,139.3,0.35000000000000003,1,3
M000104,2023-05-22,Student,Williamsburg,25,F,39.99,2023-08-31,17,22.705882352941178,0,9,5,57.14,0.29500000000000004,1,3
M000105,2024-03-09,Basic,Manhattan_Premium,33,M,49.99,,15,36.0,0,10,4,355.56,0.31428571428571433,0,0
M000106,2023-05-28,Basic,Williamsburg,54,F,49.99,,21,30.285714285714285,2,10,7,0.0,0.0,0,0
M000107,2024-09-19,Basic,NYC_Uptown,50,Other,49.99,,9,26.11111111111111,2,7,1,225.3,0.3566666666666667,0,0
M000108,2023-06-29,VIP,Bronx_Fitness,48,F,129.99,2025-04-15,14,31.785714285714285,0,10,5,0.0,0.0,1,4
M000109,2023-02-04,Basic,Williamsburg,70,F,49.99,,16,22.875,1,9,3,126.25999999999999,0.33666666666666667,0,0
M000110,2023-05-30,Student,Chinatown_Active,68,M,39.99,,12,51.166666666666664,1,9,3,52.3,0.36,0,3
M000111,2024-12-23,VIP,Manhattan_Premium,39,M,129.99,,11,22.272727272727273,1,8,1,221.12,0.29,0,4
M000112,2023-05-01,Basic,Harlem_Strong,31,M,49.99,,16,53.5625,1,8,2,2.73,0.35,0,0
M000113,2023-02-19,Student,Brooklyn_Heights,41,Other,39.99,,21,33.714285714285715,1,13,3,288.37,0.31555555555555553,0,3
M000114,2024-10-09,Senior,Manhattan_Premium,64,M,44.99,,7,38.714285714285715,0,6,1,6.67,0.36,0,2
M000115,2023-10-06,VIP,Midtown_Elite,68,Other,129.99,,16,28.1875,2,7,5,361.18,0.3742857142857143,0,4
M000116,2024-05-29,VIP,Long_Island_City,45,Other,129.99,,17,38.294117647058826,0,10,4,135.61,0.3133333333333333,0,4
M000117,2024-10-22,Premium,Williamsburg,19,M,79.99,,9,44.55555555555556,1,5,2,8.93,0.3,0,1
M000118,2023-03-08,Premium,Manhattan_Premium,31,F,79.99,,13,38.0,1,9,2,181.95,0.34,0,1
M000119,2024-12-06,VIP,Astoria_Fit,18,Other,129.99,,14,31.642857142857142,0,8,5,106.64,0.39666666666666667,0,4
M000120,2024-03-15,Student,Long_Island_City,23,Other,39.99,,15,42.666666666666664,0,7,4,75.47,0.355,0,3
M000121,2023-01-30,Senior,Staten_Island,61,Other,44.99,,13,49.53846153846154,0,10,2,109.61,0.36999999999999994,0,2
M000122,2024-07-26,Premium,Financial_District,46,Other,79.99,,13,39.92307692307692,0,10,5,113.8,0.325,0,1
M000123,2024-11-22,Student,Brooklyn_Heights,36,M,39.99,,18,56.5,1,8,5,163.49,0.33,0,3
M000124,2023-12-28,Senior,Midtown_Elite,40,M,44.99,,10,23.1,0,6,3,49.39,0.30500000000000005,0,2
M000125,2023-02-18,Student,Harlem_Strong,18,F,39.99,2025-01-17,10,24.7,0,8,3,198.82999999999998,0.33,1,3
M000126,2023-07-16,Premium,Harlem_Strong,37,M,79.99,,10,32.3,0,8,4,164.32,0.36166666666666664,0,1
M000127,2024-02-23,Student,Staten_Island,54,F,39.99,,8,1.0,1,6,2,9.23,0.28,0,3
M000128,2024-03-16,Senior,Bronx_Fitness,55,M,44.99,,15,41.4,0,10,4,211.37,0.35,0,2
M000129,2024-12-17,Basic,Chinatown_Active,61,Other,49.99,,14,52.714285714285715,0,7,4,71.85,0.35,0,0
M000130,2024-05-30,Student,Chinatown_Active,23,Other,39.99,,9,39.666666666666664,1,6,4,90.31,0.45,0,3
M000131,2024-10-21,VIP,Williamsburg,46,M,129.99,,20,24.65,4,12,5,85.72999999999999,0.325,0,4
M000132,2023-11-24,VIP,NYC_Uptown,59,F,129.99,2025-04-11,11,43.27272727272727,0,8,2,61.18,0.39,1,4
M000133,2024-10-14,Premium,Manhattan_Premium,57,Other,79.99,,13,52.46153846153846,1,8,4,53.37,0.44,0,1
M000134,2024-11-28,VIP,NYC_Uptown,23,F,129.99,,18,51.55555555555556,5,13,2,219.06,0.4,0,4
M000135,2024-11-05,Premium,Williamsburg,23,M,79.99,,24,32.833333333333336,2,11,4,346.54,0.34375,0,1
M000136,2024-04-24,Premium,Queens_Central,30,M,79.99,,16,40.75,0,9,2,252.43,0.35571428571428576,0,1
M000137,2023-02-09,Senior,Astoria_Fit,57,Other,44.99,,15,24.733333333333334,1,8,4,184.8,0.382,0,2
M000138,2024-07-08,Basic,Chinatown_Active,50,F,49.99,,14,54.642857142857146,0,10,5,0.0,0.0,0,0
M000139,2024-12-30,Student,NYC_Uptown,66,M,39.99,,14,20.857142857142858,0,10,4,329.67,0.3557142857142857,0,3
M000140,2023-03-24,Student,Chinatown_Active,49,M,39.99,,10,32.6,0,9,2,197.5,0.3225,0,3
M000141,2023-07-12,Senior,NYC_Uptown,45,Other,44.99,,12,19.5,1,10,3,5.22,0.36,0,2
M000142,2023-05-01,Basic,Queens_Central,53,F,49.99,,9,57.888888888888886,1,5,1,256.67,0.4225,0,0
M000143,2023-06-27,Senior,Astoria_Fit,54,F,44.99,,16,26.875,1,12,2,194.69,0.32,0,2
M000144,2023-12-05,Senior,Manhattan_Premium,41,Other,44.99,,17,22.235294117647058,0,11,4,123.59,0.3225,0,2
M000145,2023-01-05,Senior,Harlem_Strong,46,Other,44.99,,8,45.625,2,5,3,188.04,0.418,0,2
M000146,2023-08-09,Premium,Williamsburg,22,Other,79.99,2025-03-09,18,34.5,1,10,4,56.69,0.28,1,1
M000147,2024-08-07,Basic,Midtown_Elite,44,M,49.99,,18,44.333333333333336,1,11,4,154.81,0.366,0,0
M000148,2024-01-22,Senior,Midtown_Elite,45,Other,44.99,,13,56.76923076923077,0,10,2,88.56,0.3525,0,2
M000149,2023-09-24,VIP,Long_Island_City,23,Other,129.99,,13,35.23076923076923,1,9,4,291.01,0.3516666666666666,0,4
M000150,2024-01-31,Premium,Midtown_Elite,23,M,79.99,,15,34.86666666666667,1,10,3,205.95999999999998,0.396,0,1
M000151,2023-12-21,Student,Chinatown_Active,61,M,39.99,,18,33.44444444444444,3,12,4,92.80000000000001,0.3333333333333333,0,3
M000152,2024-04-05,Student,Astoria_Fit,26,M,39.99,,18,47.388888888888886,0,12,4,160.33,0.3233333333333333,0,3
M000153,2024-02-03,Student,Midtown_Elite,64,Other,39.99,2025-10-25,10,28.1,0,6,4,108.19,0.355,1,3
M000154,2023-03-15,VIP,Long_Island_City,32,M,129.99,,8,44.25,1,6,2,31.54,0.3,0,4
M000155,2023-08-10,Senior,Williamsburg,40,M,44.99,,7,31.0,0,6,2,65.12,0.46499999999999997,0,2
M000156,2024-05-23,Student,Manhattan_Premium,54,Other,39.99,,12,42.5,0,10,3,37.65,0.22999999999999998,0,3
M000157,2024-07-25,Senior,Astoria_Fit,29,F,44.99,,16,39.6875,0,10,3,134.65,0.3333333333333333,0,2
M000158,2024-04-03,Basic,Midtown_Elite,54,Other,49.99,,14,23.142857142857142,1,10,3,60.06,0.42,0,0
M000159,2023-10-24,Basic,Financial_District,46,F,49.99,,11,49.63636363636363,0,8,3,44.28,0.36,0,0
M000160,2023-11-22,Student,Midtown_Elite,28,Other,39.99,2025-11-10,18,34.44444444444444,1,11,6,60.71,0.3925,1,3
M000161,2023-01-16,VIP,Manhattan_Premium,66,Other,129.99,,18,39.5,0,13,3,213.2,0.33,0,4
M000162,2023-01-04,Basic,Chinatown_Active,21,Other,49.99,,12,49.25,0,9,4,93.9,0.435,0,0
M000163,2023-09-03,Basic,NYC_Downtown,47,Other,49.99,,13,32.69230769230769,0,9,3,110.59,0.39333333333333337,0,0
M000164,2023-11-23,VIP,Queens_Central,60,M,129.99,,13,42.76923076923077,3,9,4,48.28,0.34,0,4
M000165,2024-09-11,Premium,Queens_Central,66,Other,79.99,,14,28.071428571428573,0,9,4,50.06,0.49,0,1
M000166,2024-09-28,VIP,Queens_Central,69,M,129.99,,13,27.692307692307693,1,7,3,39.98,0.44,0,4
M000167,2023-05-11,VIP,Long_Island_City,35,Other,129.99,,16,46.5,0,11,4,151.61,0.44333333333333336,0,4
M000168,2023-04-22,VIP,Manhattan_Premium,49,F,129.99,,22,32.54545454545455,0,13,4,31.05,0.23,0,4
M000169,2023-06-16,Premium,Astoria_Fit,29,Other,79.99,,18,40.44444444444444,0,10,7,164.61,0.296,0,1
M000170,2024-05-21,Premium,Astoria_Fit,26,M,79.99,2025-06-01,16,26.5,1,9,2,0.0,0.0,1,1
M000171,2023-07-30,VIP,Harlem_Strong,38,M,129.99,,16,24.0,0,13,4,16.0,0.355,0,4
M000172,2023-10-20,Student,Midtown_Elite,21,Other,39.99,,22,42.86363636363637,2,11,5,89.47999999999999,0.345,0,3
M000173,2023-03-03,Basic,Staten_Island,58,F,49.99,,11,52.63636363636363,0,8,3,180.99,0.3,0,0
M000174,2024-09-28,Basic,Manhattan_Premium,51,M,49.99,,13,55.46153846153846,0,9,3,61.1,0.32,0,0
M000175,2023-03-17,Basic,Financial_District,22,Other,49.99,2023-11-01,17,39.11764705882353,0,13,6,14.06,0.34,1,0
M000176,2024-05-10,Basic,NYC_Uptown,55,M,49.99,,23,36.869565217391305,0,10,8,126.5,0.3566666666666667,0,0
M000177,2023-12-24,Basic,Manhattan_Premium,63,M,49.99,,13,20.076923076923077,2,10,3,269.1,0.36,0,0
M000178,2024-11-12,Basic,NYC_Uptown,53,F,49.99,,14,51.285714285714285,0,11,4,0.0,0.0,0,0
M000179,2023-03-25,Student,Queens_Central,25,Other,39.99,,18,31.0,2,12,4,114.75999999999999,0.375,0,3
M000180,2024-08-01,Senior,Manhattan_Premium,58,Other,44.99,,10,25.7,2,5,1,9.17,0.33,0,2
M000181,2024-10-18,Basic,Astoria_Fit,44,M,49.99,2026-02-06,9,14.333333333333334,0,7,4,140.97,0.3775,1,0
M000182,2024-12-08,Basic,Financial_District,44,M,49.99,,5,43.2,0,4,1,222.05,0.36166666666666664,0,0
M000183,2024-10-05,Basic,Manhattan_Premium,47,F,49.99,2025-03-04,14,44.357142857142854,0,9,3,188.61,0.354,1,0
M000184,2024-10-04,Basic,Financial_District,51,F,49.99,,15,34.6,1,9,4,101.04,0.33666666666666667,0,0
M000185,2024-05-12,Premium,NYC_Uptown,66,M,79.99,,13,39.07692307692308,0,9,3,309.40999999999997,0.335,0,1
M000186,2024-03-07,Premium,Williamsburg,42,Other,79.99,,11,42.81818181818182,1,7,4,256.97,0.386,0,1
M000187,2024-09-11,Premium,Upper_East_Side,34,Other,79.99,,21,28.80952380952381,1,11,4,6.76,0.47,0,1
M000188,2024-10-15,Student,Staten_Island,40,M,39.99,,3,64.0,0,2,1,126.88,0.4033333333333333,0,3
M000189,2024-05-08,VIP,Brooklyn_Heights,35,Other,129.99,,14,34.92857142857143,2,9,4,45.24,0.35,0,4
M000190,2023-06-15,VIP,Harlem_Strong,64,F,129.99,,13,29.384615384615383,0,9,3,245.29,0.29,0,4
M000191,2024-06-24,Basic,Midtown_Elite,70,M,49.99,2025-07-16,12,51.083333333333336,1,7,4,110.88,0.305,1,0
M000192,2024-03-28,Basic,Staten_Island,26,F,49.99,,15,43.333333333333336,0,10,2,26.08,0.41,0,0
M000193,2023-03-23,Premium,Chinatown_Active,56,M,79.99,,18,49.55555555555556,1,12,5,99.78999999999999,0.25,0,1
M000194,2024-11-26,VIP,Astoria_Fit,32,F,129.99,,13,34.30769230769231,1,8,3,14.38,0.265,0,4
M000195,2024-10-11,Student,Staten_Island,32,F,39.99,,11,36.36363636363637,1,8,2,258.66,0.27999999999999997,0,3
M000196,2024-08-03,Basic,Astoria_Fit,32,F,49.99,,7,37.142857142857146,0,7,2,22.06,0.45499999999999996,0,0
M000197,2024-06-11,Basic,Brooklyn_Heights,46,M,49.99,,20,45.5,0,13,5,127.6,0.33499999999999996,0,0
M000198,2024-08-02,Student,Astoria_Fit,44,F,39.99,,6,9.166666666666666,1,5,1,107.39,0.35,0,3
M000199,2023-07-01,Basic,Manhattan_Premium,42,F,49.99,,14,24.214285714285715,4,9,2,200.49,0.375,0,0
M000200,2023-11-10,Premium,Financial_District,67,M,79.99,,17,18.941176470588236,0,12,5,60.349999999999994,0.45499999999999996,0,1
M000201,2024-03-26,Student,Financial_District,55,F,39.99,,11,13.727272727272727,2,8,3,82.22,0.39999999999999997,0,3
M000202,2023-02-06,Premium,Harlem_Strong,66,F,79.99,,12,32.0,1,9,3,106.50999999999999,0.32,0,1
M000203,2024-05-07,Senior,Queens_Central,26,Other,44.99,,13,13.538461538461538,2,9,5,211.54,0.40800000000000003,0,2
M000204,2023-07-20,Senior,Midtown_Elite,36,F,44.99,,10,40.8,0,8,4,239.45999999999998,0.335,0,2
M000205,2024-11-21,Basic,Manhattan_Premium,58,Other,49.99,,12,42.0,1,8,3,80.41,0.3,0,0
M000206,2023-05-23,Premium,Brooklyn_Heights,55,M,79.99,,6,38.0,0,4,2,152.70999999999998,0.396,0,1
M000207,2023-09-25,Basic,Financial_District,19,Other,49.99,,19,27.57894736842105,1,12,3,159.49,0.325,0,0
M000208,2024-04-27,Student,NYC_Downtown,20,M,39.99,,13,43.84615384615385,1,11,3,195.75,0.372,0,3
M000209,2023-02-14,VIP,Queens_Central,34,F,129.99,,16,50.1875,0,10,2,52.18,0.3333333333333333,0,4
M000210,2024-12-14,Premium,Astoria_Fit,48,Other,79.99,,13,25.76923076923077,0,7,3,142.43,0.35250000000000004,0,1
M000211,2024-09-09,Senior,NYC_Uptown,26,F,44.99,,12,34.416666666666664,0,8,4,207.82,0.39,0,2
M000212,2023-02-25,Basic,Long_Island_City,60,M,49.99,,15,45.733333333333334,1,10,3,159.56,0.34833333333333333,0,0
M000213,2024-03-24,Premium,Manhattan_Premium,38,Other,79.99,2025-07-09,10,31.9,0,8,1,212.99,0.33499999999999996,1,1
M000214,2023-07-15,Basic,Midtown_Elite,24,M,49.99,,18,31.444444444444443,3,11,4,204.4,0.3,0,0
M000215,2024-10-19,Senior,Harlem_Strong,27,Other,44.99,,13,26.46153846153846,0,9,2,83.86,0.3233333333333333,0,2
M000216,2024-06-13,VIP,Astoria_Fit,69,F,129.99,2025-02-09,20,35.25,1,11,6,29.29,0.33,1,4
M000217,2023-04-30,Basic,NYC_Downtown,45,M,49.99,,15,31.733333333333334,0,10,4,171.66000000000003,0.365,0,0
M000218,2024-09-24,Basic,Chinatown_Active,49,F,49.99,,14,51.714285714285715,2,10,4,80.69,0.41000000000000003,0,0
M000219,2024-08-16,VIP,Long_Island_City,51,Other,129.99,,22,53.09090909090909,0,14,4,59.46,0.42,0,4
M000220,2023-07-08,Student,NYC_Uptown,24,F,39.99,,22,24.09090909090909,1,12,5,77.31,0.33499999999999996,0,3
